4.417095432163758995e-01,4.416637337716264322e-01,4.422965486183254025e-01,4.715135627010745845e-01,4.715349717817111097e-01,4.419094628959189808e-01,4.715361182731673817e-01,4.716450174020255237e-01,4.714674864047576075e-01,4.417648296509829597e-01
4.417556506526194582e-01,4.417036685509435068e-01,4.422287877119667754e-01,4.484561540102929844e-01,4.713486380667084030e-01,4.716459743998822063e-01,4.715060357308453742e-01,4.714565323972870758e-01,4.716445286841530748e-01,4.580165947859309306e-01
4.419277344946429542e-01,4.417363040402689234e-01,4.436190211578861509e-01,4.713662938139939196e-01,4.716183885738958192e-01,4.715638972248373251e-01,4.713919006424552305e-01,4.714256814650255589e-01,4.716852000702123071e-01,4.708409065641217528e-01
4.418793942806065189e-01,4.713802643698558614e-01,4.717039286361219830e-01,4.715641811337301093e-01,4.716779735672130269e-01,4.714656841207808813e-01,4.713104641423863650e-01,4.713990966686221751e-01,4.716725198388614926e-01,4.709882941121372735e-01
4.418896343578386232e-01,4.717071767517109215e-01,4.716982049627432838e-01,4.714685212291613858e-01,4.717054307486630016e-01,4.713960429023367205e-01,4.712829992192040240e-01,4.714088149841056397e-01,4.716904149075998309e-01,4.708289530687487234e-01
4.417988104363654855e-01,4.716667884834327973e-01,4.716591980973211529e-01,4.711430018645172413e-01,4.715924541143161619e-01,4.713525582117023549e-01,4.713042466738736058e-01,4.714042303428772618e-01,4.716930353413518184e-01,4.708413785560437992e-01
4.417589396214807729e-01,4.716278006186463978e-01,4.715925312434240957e-01,4.488800906201401153e-01,4.687271689536384178e-01,4.713551504969213934e-01,4.712801668100126129e-01,4.715821994850355470e-01,4.716557281660979650e-01,4.681112893171978651e-01
4.417450019942189554e-01,4.716075488156681872e-01,4.715648303301362976e-01,4.437739900660865322e-01,4.416702387707425737e-01,4.714250794642454445e-01,4.714748355930362678e-01,4.714720817453323387e-01,4.716481658480864980e-01,4.715459011227514097e-01
4.417189595645460987e-01,4.715753597265165964e-01,4.715681021985084764e-01,4.418800924430119070e-01,4.416711431472316041e-01,4.716388598082347783e-01,4.716043185770824597e-01,4.716565398939379095e-01,4.716942121921428033e-01,4.709835984564993416e-01
4.417224078987140867e-01,4.716162089358329479e-01,4.715920766136337816e-01,4.416673695432508651e-01,4.417641259631741590e-01,4.716809086110566596e-01,4.634316398275797888e-01,4.711688792368401990e-01,4.716984245632385164e-01,4.715038345401110775e-01
